file,pattern,match_or_content,context
archive/VE012/UT012_0011.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE012/UT012_0012.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0012.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0012.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE012/UT012_0012.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0012.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE012/UT012_0018.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE013/UT013_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0002.xml,short_head,༢,"<hi rend=""head"">༢</hi>"
archive/VE013/UT013_0002.xml,short_head,ལ,"<hi rend=""head"">ལ</hi>"
archive/VE013/UT013_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE013/UT013_0010.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE014/UT014_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE014/UT014_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE014/UT014_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE014/UT014_0001.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE014/UT014_0006.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE014/UT014_0006.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE014/UT014_0012.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE015/UT015_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0001.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0002.xml,short_head,ོ ,"<hi rend=""head"">ོ </hi>"
archive/VE015/UT015_0004.xml,short_head,༈,"<hi rend=""head"">༈</hi>"
archive/VE015/UT015_0004.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE015/UT015_0004.xml,short_head,༈,"<hi rend=""head"">༈</hi>"
